Run   mass(M_Earth)  Period(days)   Eccentricity   Incl(deg)
141     8.00           4.38867      0.1141490       6.97960
141     7.20          23.02842      0.1951760       3.91530
141    16.00          11.28788      0.1388930       5.94640
141    13.60          66.29405      0.0768970       0.88890
142    10.40           5.20649      0.1142240       1.01600
142     4.80          83.23589      0.1462340       1.67770
142    14.80          16.49184      0.0400370      10.21640
142     6.00          33.85702      0.0741640       3.97650
143     3.20           5.27973      0.0444760       1.66650
143     3.60           3.77166      0.0178820       1.59920
143     7.60           7.91999      0.0434960       1.61460
143    16.00          10.56679      0.0181190       1.95220
143     5.60          26.52398      0.0073130       2.45660
143     4.80          21.21699      0.0143170       1.66870
144    12.80          50.13408      0.0198030       3.56890
144    21.20          15.20404      0.0367170       2.05720
144     8.40           4.14256      0.0994190       7.88310
145     0.40         163.46899      0.2144930      17.15470
145     6.80           7.79352      0.1134050       2.12930
145     9.20          38.62391      0.0440280       1.79210
145     6.40           3.31950      0.0657820       2.22280
145     3.60          13.22918      0.0188680       2.59510
145    12.40          21.44017      0.0352890       2.76780
146    12.80           5.33454      0.0842540       3.63360
146     9.20          63.03020      0.0242750       2.71760
146    16.40          15.41720      0.0299130       2.94520
146     5.20          27.15274      0.0327270       3.33410
147     9.20          23.83110      0.0412200       5.07120
147     8.80           3.05114      0.1080390      21.38790
147     7.60          52.38323      0.0675020      12.23760
147    11.20          12.96901      0.0637830       3.16320
148     3.20           3.54726      0.1959580      10.18370
148    13.60           9.65212      0.1074650       6.52030
148     6.00         173.37713      0.1607030      20.53250
148    16.80          31.76902      0.0372920       7.70480
149     8.80           3.87593      0.1031410       8.18400
149     4.00           9.22934      0.0845530      15.03320
149     8.00          44.07125      0.1699110      14.02010
149    14.40          19.30131      0.0538670       9.87820
150     6.40          49.76431      0.1050430       6.03760
150    17.60          20.14201      0.0085250       3.47540
150    14.40           5.04790      0.0406120       5.92250
151    13.20          19.67877      0.2138860      14.32240
151    16.80           4.30985      0.3940930       6.93060
151     7.20          62.41202      0.1535330       8.62010
152     1.20           2.76349      0.0457000       8.51800
152     3.60          16.92487      0.0322980       3.89530
152     6.00           4.56679      0.0151740       3.47610
152     6.40          10.14746      0.0276480       3.23240
152     8.40          21.18092      0.0185450       3.32400
152     4.00          85.18100      0.0365530       3.76290
152     1.60           7.61188      0.0869610       2.00780
152     4.80          42.42213      0.0233580       2.91550
152     3.60          12.68732      0.0606260       4.14930
153     4.40           2.60795      0.1555260       0.85760
153    11.60           6.30035      0.0959390       4.92370
153     8.00          77.52719      0.2839360      17.01720
153    16.40          20.81512      0.0444680       3.76810
154     4.00           3.86751      0.1430110      12.60000
154     2.40         164.37084      0.3314680      15.73310
154    18.40          34.24705      0.1401390       3.53430
154    16.00           8.79868      0.1063410       4.25740
155    12.40           4.11428      0.0252140       7.12170
155    10.40          28.12834      0.0586800       5.08540
155     6.40          71.72592      0.1103610       5.82530
155    12.00          11.95098      0.0532860       4.62660
156     5.20         115.32349      0.0980870       4.88860
156     9.60          37.75667      0.1579730       3.72540
156    27.20           6.64169      0.0779890       5.36940
157    10.80           7.46161      0.0701770       6.78830
157     8.80          14.59301      0.0918670       5.65380
157     4.80          39.70930      0.0432200       6.27590
157    12.00          22.55036      0.0538700       6.71770
158     9.20           5.29308      0.0480040       2.72510
158     8.40          44.85325      0.1579410       5.02500
158    18.40          17.37353      0.0464660       1.39620
158     3.60         188.92224      0.3299280      14.80520
159     2.40           3.66007      0.1883550      24.16930
159    22.40          13.95347      0.0780530       2.22880
159    11.20          81.82102      0.0888570       7.47980
160    16.80           5.35196      0.0801860       4.11180
160     6.40          71.77369      0.0276800       4.89330
160     2.40         198.44723      0.0952310      12.88470
160    16.00          25.00511      0.1538060      11.45260
161    12.00           2.91433      0.0213050       5.73390
161    14.40          10.23720      0.0178880       3.26290
161     4.80          18.42201      0.0542740       2.22960
161     8.40          43.67118      0.0429120       5.69420
161     4.80          85.84284      0.0790230       5.94810
162     5.60           2.40496      0.0489450       1.62610
162     6.40           5.45957      0.0509230       5.21830
162     3.20           8.78760      0.0639510       4.02850
162     6.00          22.05631      0.0433030       3.93520
162     8.40          13.88157      0.0137530       5.32010
162     6.80          33.44379      0.0028000       5.96520
163    10.40           5.69334      0.0681480      14.99420
163    16.40          23.22058      0.1520960       5.56460
163     5.60         192.58423      0.1624870       2.42090
163     8.80          58.15098      0.0862160       8.57790
164    20.40          10.55334      0.1345300       6.42430
164    11.60          24.57157      0.0634130       2.60840
164    10.80          90.66776      0.0530390       8.96260
165    16.80          21.85457      0.1316470       3.48570
165     8.00           6.14107      0.3029670       5.37320
165    15.60          84.22505      0.0449820       1.11510
166     3.60           3.58122      0.0796510      10.72180
166    17.60          10.39236      0.0354310       5.83400
166    15.60          36.54955      0.1244930       3.08780
167     8.40           3.77285      0.1645440       7.87690
167    14.40          19.75745      0.1112520       4.63300
167    10.80         117.38895      0.0415140       3.18940
167     8.80           9.32597      0.0186940      10.60810
168    24.80          25.51109      0.0537890       4.52490
169     6.00           3.15510      0.0597860       4.07870
169     4.00           5.16007      0.0753890       3.58350
169     8.80          38.94821      0.0589120       1.79490
169    12.00          19.23966      0.0383970       1.96250
169     7.20           9.27600      0.0212960       2.56910
170     3.60           3.32407      0.2344000       1.07650
170    17.60           9.61298      0.0935250       4.01890
170    11.60          24.36463      0.1325860       4.48350
170     5.20          62.32387      0.1132210       5.99970
171     6.00           9.64722      0.1088590       5.27200
171     6.00           4.44904      0.1233110       7.95230
171    12.80          17.86615      0.0610470       1.24140
171     9.20         109.20094      0.1559910       3.27850
171     9.60          30.52951      0.0261920       5.38240
172     5.60           5.10718      0.0714250       4.03050
172    16.00          11.63869      0.1076210       2.53950
172     1.20         166.66009      0.1912940      12.91440
172    18.00          42.17645      0.1168160       2.43580
173    13.20           5.31179      0.0899750       0.96170
173     8.00          12.34211      0.1503290       7.67710
173    16.00          26.49427      0.0590590       3.65090
173     4.40         133.66309      0.1407380       2.18370
174     4.00           2.32835      0.1441520       8.42000
174     7.20           5.18923      0.0474360       4.87990
174     4.40          78.80855      0.1677890       3.05150
174    14.00          27.80264      0.0723620       1.90700
174    12.40          11.23634      0.0557520       4.63910
175     8.40           6.45100      0.1324990       0.92410
175    23.20          16.52306      0.1606080       4.22020
175     6.00          53.87575      0.0960180      10.51790
176     7.60           4.39118      0.1385240       1.92460
176     8.80          76.93315      0.1969210       9.64820
176    16.00          24.10291      0.0594400       7.16920
176     7.60          10.72697      0.0371030       3.81300
177    19.20           8.88267      0.1115130       2.98990
177    10.00          58.24009      0.1607240       6.26150
177    10.40          23.42862      0.0559420       3.40460
178     6.00           3.45996      0.0757180       6.27200
178    10.40          14.79011      0.0207540       6.30690
178     6.00           8.42479      0.2098630      14.93170
178     9.60          32.17283      0.0335410       7.91600
178     5.60          57.91655      0.0292230       5.16670
179    14.00          29.61665      0.0249770       4.49600
179    10.80           6.84150      0.0450350       2.19100
179     8.00          13.39812      0.0893980       5.95630
179    13.20          98.96721      0.0297470       2.29160
180     4.00           3.15510      0.3238100       5.21990
180     7.20           6.24099      0.1335650       6.32750
180    14.00          16.40802      0.0684190       2.95330
180     6.80          92.09353      0.0615500       2.18000
180    10.00          45.04401      0.0975890       1.89020
181     4.00           1.65841      0.0470630       0.20650
181     2.40           2.94944      0.0584720       0.52510
181    11.20           8.93193      0.0323640       0.23620
181     6.40           4.66889      0.0858910       0.44470
181     4.80          73.64830      0.0072740       1.44570
181     9.20          16.93274      0.0321660       0.30610
181     5.60          37.25894      0.0331780       0.16440
182    20.80          10.44760      0.0404720       7.13570
182    16.80          28.71778      0.0767600       9.01720
183     6.00           4.01399      0.0902690       5.97910
183     4.40          67.02435      0.0792600       6.78570
183     8.00           9.73546      0.0925960       5.56270
183     8.40          33.95625      0.0167540       4.58680
183    10.80          17.79406      0.1341550       4.10480
184    18.80           9.44885      0.2029400       5.45850
184    15.20          27.49671      0.1468120       3.76170
184     8.80         162.53115      0.1050740       4.97630
185     7.20          57.77131      0.0502340       2.95530
185     8.80          14.94088      0.0243260       3.95850
185    15.20           6.01379      0.0672150       1.76860
185    10.40          23.18997      0.0432460       1.36730
186    10.00           6.18744      0.0990380       1.63850
186     1.20          77.11251      0.2649880      17.96890
186    15.20          22.06491      0.0847170       1.85720
186    10.40          13.06276      0.1241870       4.42220
187    10.80           3.79674      0.0686350       1.30630
187     5.20          11.59529      0.0414900       7.09010
187    16.80          22.69777      0.1472090       8.17010
187     7.60          63.48218      0.1252020       8.79160
188     7.20           3.04225      0.1845760       3.63370
188    12.00           8.82401      0.1427400       3.89800
188    16.00          31.45398      0.1530020       4.60820
188     4.40          83.16563      0.0853580       6.66840
189     4.40           3.10465      0.0328400       4.23590
189     3.20           5.32919      0.0317870       2.63530
189     6.80           8.60163      0.0247450       4.27830
189     9.20          21.73040      0.0072600       2.22170
189     8.00          13.63363      0.0145070       1.90040
189     9.60         197.00498      0.1223200       5.14210
190    18.80          14.82022      0.0425340       2.86800
190    16.40           4.54773      0.1162360       6.07420
191     5.20           6.57983      0.0761100       3.58120
191     3.60           3.71335      0.0601520      10.42330
191     6.80          32.62731      0.0273620       5.21270
191    10.00          12.66945      0.0280890       3.21260
191    11.20          21.78603      0.0264580       8.08830
192    19.60           8.70233      0.0174860       7.57380
192     4.40           2.89574      0.1732610      13.38760
192    10.80          28.79997      0.0490000      12.80810
193    10.40          24.42465      0.0319620       0.73640
193     6.00           3.11360      0.0443690       7.49830
193     5.20           8.12867      0.0485480       6.43390
193    10.80          38.31601      0.0457930       1.54200
193     8.80          13.66661      0.0479490       3.62760
194    12.80           9.67497      0.0321370       4.56840
194     6.00           3.27956      0.1904840       9.76410
194    18.40          29.38930      0.1109970       2.44770
195     6.40           1.77866      0.0711320       5.30530
195    12.00          21.41037      0.0123840       6.71900
195     4.80           4.33232      0.0550830      10.26620
195    10.80           9.55274      0.0204650       5.25880
195     7.60         156.89657      0.1206250      11.62100
196     4.40           2.60373      0.1034550      18.48970
196    12.80          19.95462      0.0770160       2.46090
196    10.40          33.66133      0.1145550       1.75070
196    11.60           7.12423      0.0872550      12.12710
197     9.60           4.94961      0.0699130       7.91380
197     4.80           2.33649      0.0410320       8.45630
197     5.20          69.39492      0.0998230       5.44850
197    12.00          14.22745      0.0332570       6.75280
197    10.40          30.79339      0.0467420       5.43810
198    15.20           9.51536      0.0230100       0.94850
198     6.40          29.18848      0.0398930       2.49870
198     9.60          18.75701      0.0397610       5.37790
198     6.00          62.48196      0.1076340       2.61290
198     2.00          94.35594      0.0603210       5.36150
199     6.40           5.49876      0.0721850       1.89780
199     4.00           3.70149      0.0739500       3.41710
199     7.20           9.84532      0.0386760       3.63480
199    20.80          18.75498      0.0417500       3.00230
